1000,44.867,44.997
621.02,44.318,44.974
385.66,44.38,45.122
239.5,46.452,45.529
148.74,50.639,45.399
92.367,55.658,43.752
57.362,60.031,40.62
35.622,62.975,36.635
22.122,64.387,32.809
13.738,64.495,31.016
8.5317,63.912,32.831
5.2983,63.116,38.51
3.2903,61.255,47.011
2.0434,56.928,55.875
1.269,49.842,62.223
0.78805,41.285,64.428
0.48939,33.292,62.108
0.30392,27.279,55.583
0.18874,23.568,46.124
0.11721,21.841,36.098
0.07279,21.62,27.772
0.045204,22.466,22.083
0.028072,24.027,18.854
0.017433,26.02,17.537
0.010826,28.223,17.611
0.0067234,30.466,18.669
0.0041753,32.623,20.405
0.0025929,34.612,22.58
0.0016103,36.386,24.998
0.001,37.929,27.497
