0.0031,-75,14.5,2.5,0.1062,1.9303,42.6916,51.6558
0.0042,-75,14.5,2.5,2.2671,2.2159,52.5796,52.3596
0.0057,-75,14.5,2.5,2.1664,2.1281,51.8128,51.9226
0.0076,-75,14.5,2.5,4.5501,8.1574,58.046,55.6117
0.0102,-75,14.5,2.5,4.5043,9.5027,57.8156,52.3373
0.0136,-75,14.5,2.5,5.2528,11.1242,56.2482,51.8713
0.0183,-75,14.5,2.5,5.0209,14.2669,55.2006,55.2608
0.0245,-75,14.5,2.5,4.7717,14.2807,53.9642,54.3091
0.0329,-75,14.5,2.5,4.4879,11.9411,54.0153,54.8419
0.0441,-75,14.5,2.5,4.0422,11.457,52.5997,54.1666
0.0591,-75,14.5,2.5,3.6034,10.4338,53.209,52.5737
0.0793,-75,14.5,2.5,3.6415,9.8985,50.7121,52.2202
0.1063,-75,14.5,2.5,3.027,9.006,51.0537,50.5705
0.1426,-75,14.5,2.5,3.0994,9.4323,50.4796,48.5398
0.1912,-75,14.5,2.5,3.273,9.9275,50.3446,50.0413
0.2563,-75,14.5,2.5,3.2612,9.0464,47.4694,49.3418
0.3437,-75,14.5,2.5,3.2705,9.3838,48.6654,50.447
0.4609,-75,14.5,2.5,3.3137,10.0037,47.4303,45.5306
0.6179,-75,14.5,2.5,3.2276,8.1755,46.2734,49.3837
0.8286,-75,14.5,2.5,3.318,8.8753,47.6797,45.7889
1.111,-75,14.5,2.5,2.9512,7.3626,52.9511,45.946
1.4897,-75,14.5,2.5,2.8759,6.271,51.1161,51.4958
1.9974,-75,14.5,2.5,2.6628,6.6441,54.1625,54.0174
2.6782,-75,14.5,2.5,1.6729,4.621,55.7131,54.9039
3.5911,-75,14.5,2.5,1.1481,0.9196,48.1323,52.2119
4.8151,-75,14.5,2.5,0.6865,0.4745,45.0299,63.5921
6.4564,-75,14.5,2.5,0.1115,0.0491,63.2119,40.316
8.657,-75,14.5,2.5,0.2477,0.8846,29.4267,42.3665
11.6078,-75,14.5,2.5,0.0024,1.1863,-51.9033,75.2618
15.5643,-75,14.5,2.5,0.2085,0.5612,-3.0212,29.8417
20.8694,-75,14.5,2.5,0.3707,0.5735,10.151,27.771
27.9828,-75,14.5,2.5,0.8002,1.4888,8.3635,31.6473
37.5208,-75,14.5,2.5,2.7101,1.8181,6.9072,16.3708
50.3098,-75,14.5,2.5,3.1763,1.7763,10.4849,15.9675
67.4579,-75,14.5,2.5,3.9788,2.3784,12.1139,18.3126
90.451,-75,14.5,2.5,4.6935,2.6462,13.66,25.8892
121.2813,-75,14.5,2.5,8.0846,3.9481,14.4083,37.4584
162.6201,-75,14.5,2.5,3.8274,1.5107,16.4698,55.2718
